iter	Passed	Remaining
717	7365	23410
718	7367	23373
719	7372	23347
720	7374	23310
721	7393	23327
722	7412	23343
723	7413	23304
724	7414	23267
725	7428	23267
726	7444	23275
727	7445	23237
728	7461	23243
729	7478	23254
730	7494	23262
731	7510	23271
732	7526	23279
733	7528	23241
734	7543	23247
735	7564	23267
736	7572	23252
737	7588	23258
738	7590	23222
739	7607	23233
740	7624	23245
741	7626	23207
742	7627	23169
743	7643	23178
744	7662	23194
745	7664	23157
746	7667	23124
747	7681	23125
748	7695	23127
749	7705	23115
750	7706	23079
751	7723	23089
752	7729	23064
753	7745	23071
754	7764	23087
755	7766	23051
756	7780	23053
757	7781	23016
758	7799	23028
759	7800	22991
760	7801	22954
761	7804	22921
762	7805	22884
763	7807	22849
764	7811	22820
765	7827	22829
766	7841	22830
767	7860	22845
768	7868	22829
769	7870	22795
770	7881	22784
771	7896	22790
772	7912	22795
773	7927	22799
774	7944	22807
775	7945	22771
776	7962	22781
777	7978	22786
778	7992	22786
779	8006	22787
780	8021	22792
781	8024	22758
782	8039	22762
783	8054	22766
784	8056	22732
785	8073	22742
786	8088	22745
787	8106	22754
788	8122	22762
789	8123	22725
790	8143	22740
791	8144	22707
792	8158	22706
793	8161	22675
794	8174	22673
795	8189	22675
796	8190	22639
797	8204	22639
798	8220	22643
799	8236	22650
800	8238	22616
801	8254	22621
802	8269	22626
803	8271	22591
804	8272	22556
805	8273	22522
806	8289	22525
807	8291	22492
808	8305	22494
809	8307	22460
810	8318	22452
811	8331	22449
812	8349	22459
813	8350	22424
814	8351	22391
815	8352	22356
816	8354	22322
817	8366	22318
818	8368	22286
819	8370	22252
820	8377	22235
821	8378	22200
822	8395	22207
823	8397	22176
824	8399	22143
825	8409	22132
826	8424	22135
827	8427	22107
828	8443	22112
829	8462	22123
830	8464	22092
831	8466	22061
832	8467	22027
833	8487	22042
834	8507	22059
835	8515	22043
836	8536	22059
837	8553	22068
838	8555	22037
839	8571	22040
840	8574	22012
841	8594	22028
842	8598	22000
843	8623	22028
844	8645	22049
845	8648	22021
846	8650	21988
847	8652	21957
848	8653	21924
849	8657	21897
850	8662	21876
851	8668	21854
852	8687	21867
853	8688	21834
854	8691	21803
855	8710	21817
856	8715	21793
857	8736	21810
858	8758	21830
859	8782	21853
860	8804	21873
861	8815	21864
862	8835	21878
863	8837	21847
864	8847	21837
865	8849	21806
866	8869	21821
867	8891	21839
868	8892	21806
869	8894	21775
870	8917	21797
871	8924	21777
872	8931	21761
873	8935	21736
874	8945	21724
875	8947	21693
876	8966	21706
877	8988	21724
878	9009	21738
879	9029	21753
880	9031	21721
881	9051	21735
882	9071	21748
883	9072	21715
884	9073	21683
885	9092	21694
886	9111	21706
887	9128	21711
888	9146	21719
889	9163	21725
890	9181	21731
891	9199	21741
892	9202	21712
893	9219	21719
894	9221	21688
895	9222	21657
896	9240	21664
897	9242	21633
898	9244	21605
899	9249	21582
900	9251	21553
901	9255	21527
902	9273	21536
903	9285	21528
904	9286	21497
905	9305	21506
906	9306	21475
907	9307	21444
908	9309	21415
909	9324	21415
910	9325	21384
911	9327	21355
912	9345	21363
913	9347	21333
914	9365	21340
915	9368	21313
916	9386	21321
917	9408	21339
918	9409	21308
919	9425	21310
920	9441	21311
921	9459	21318
922	9464	21297
923	9470	21277
924	9486	21281
925	9493	21263
926	9509	21264
927	9512	21239
928	9526	21237
929	9546	21249
930	9560	21246
931	9578	21253
932	9596	21261
933	9612	21263
934	9614	21233
935	9615	21204
936	9623	21188
937	9626	21162
938	9639	21157
939	9651	21151
940	9657	21131
941	9668	21122
942	9682	21121
943	9699	21126
944	9716	21129
945	9726	21119
946	9727	21089
947	9729	21059
948	9730	21029
949	9731	20999
950	9749	21005
951	9750	20975
952	9764	20974
953	9781	20976
954	9782	20947
955	9799	20952
956	9803	20928
957	9822	20936
958	9842	20948
959	9848	20927
960	9867	20936
961	9889	20950
962	9891	20923
963	9894	20896
964	9896	20870
965	9914	20875
966	9935	20887
967	9936	20859
968	9938	20831
969	9956	20837
970	9960	20812
971	9980	20823
972	9981	20793
973	9992	20785
974	9993	20756
975	10011	20760
976	10028	20764
977	10045	20769
978	10048	20744
979	10065	20746
980	10066	20718
981	10070	20695
982	10072	20666
983	10073	20637
984	10087	20635
985	10088	20607
986	10101	20602
987	10116	20601
988	10132	20602
989	10148	20604
990	10165	20608
991	10170	20586
992	10186	20588
993	10187	20559
994	10190	20534
995	10192	20507
996	10197	20487
997	10200	20461
998	10214	20460
999	10230	20461
1000	10246	20462
1001	10247	20434
1002	10254	20416
1003	10261	20399
1004	10262	20371
1005	10278	20373
1006	10294	20374
1007	10310	20375
1008	10326	20375
1009	10327	20348
1010	10330	20323
1011	10345	20322
1012	10360	20322
1013	10370	20312
1014	10389	20317
1015	10390	20290
1016	10407	20292
1017	10410	20268
1018	10412	20241
1019	10431	20249
1020	10446	20248
1021	10463	20251
1022	10465	20225
1023	10483	20229
